RepairID,PC_ID,UserComplaint,Symptoms,ProblemDetected,ConfirmedDiagnosis,RootCause,TreatmentTaken,RepairStatus,TechnicianNotes,ResolutionVerified
REP-00171,DRDO-PC-0005,Frequent thermal warnings during long workloads,Repeated thermal alerts; sustained high temperature,Overheating,Recurring processor thermal excursion,Intermittent fan performance,Replaced intermittent fan module,Completed,Diagnosis confirmed through targeted checks. Replaced intermittent fan module,Yes
REP-00655,DRDO-PC-0008,Observed issue: Computer restarts after adding a high-load device.,Restart after increased device load,Power Issue,Power capacity or connection issue,Marginal PSU capacity,Upgraded marginal PSU and verified device-load stability,Completed,Diagnosis confirmed through targeted checks. Upgraded marginal PSU and verified device-load stability,Yes
REP-00891,DRDO-PC-0015,Workstation is functioning normally after recent update during recent operation.,Normal post-update operation,No Problem,Post-update system healthy,No post-update fault,Verified normal operation after update,Completed,Diagnosis confirmed through targeted checks. Verified normal operation after update,Yes
REP-00858,DRDO-PC-0101,Observed issue: Machine operates normally across daily tasks.,Stable daily operation,No Problem,Daily workload stability confirmed,Normal daily operating condition,Tested normal daily workload and confirmed stability,Completed,Diagnosis confirmed through targeted checks. Tested normal daily workload and confirmed stability,Yes
REP-00848,DRDO-PC-0033,Observed issue: PC is stable during normal workload.,Stable workload behavior,No Problem,Stable system condition,Normal workload operation,Verified stability under representative workload,Completed,Diagnosis confirmed through targeted checks. Verified stability under representative workload,Yes
REP-00945,DRDO-PC-0071,Maintenance note: System performance is normal but health verification is needed and requests diagnosis.,Stable performance; no abnormal telemetry reported,No Problem,Healthy operating state,Components operating within expected condition,Recorded healthy status and retained monitoring schedule,Completed,Diagnosis confirmed through targeted checks. Recorded healthy status and retained monitoring schedule,Yes
REP-00734,DRDO-PC-0001,Observed issue: Random power loss occurs during normal work and requests diagnosis.,Random power interruption,Power Issue,Intermittent power path failure,Intermittent AC or DC power connection,Secured power path and replaced intermittent cable or PSU,Completed,Diagnosis confirmed through targeted checks. Secured power path and replaced intermittent cable or PSU,Yes
REP-00096,DRDO-PC-0016,PC gets hot and unexpectedly powers off during recent operation.,Overtemperature followed by shutdown,Overheating,Emergency thermal shutdown condition,Critical cooling failure,Replaced failed cooling components and ran thermal stress test,Completed,Diagnosis confirmed through targeted checks. Replaced failed cooling components and ran thermal stress test,Yes
REP-00564,DRDO-PC-0094,PC eventually freezes after prolonged operation,Memory exhaustion; eventual freeze,Memory Leak,Memory exhaustion from leaking process,Leaking service exhausts available RAM,"Stopped leaking process, updated component, and performed long-duration test",Completed,"Diagnosis confirmed through targeted checks. Stopped leaking process, updated component, and performed long-duration test",Yes
REP-00241,DRDO-PC-0046,Observed issue: Files take unusually long to open and disk errors appear.,SMART warning; high read latency,Disk Failure,Storage device degradation confirmed,Aging storage media,"Backed up data, replaced drive, and verified SMART health",Completed,"Diagnosis confirmed through targeted checks. Backed up data, replaced drive, and verified SMART health",Yes
REP-00743,DRDO-PC-0014,Maintenance note: Computer sometimes fails to start on the first attempt and requests diagnosis.,Intermittent startup failure,Power Issue,Intermittent startup power fault,Intermittent PSU startup behavior,Diagnosed startup rail behavior and replaced unstable power supply,Completed,Diagnosis confirmed through targeted checks. Diagnosed startup rail behavior and replaced unstable power supply,Yes
REP-00575,DRDO-PC-0099,Browser or application memory never returns after tabs close,Memory not reclaimed after workload ends,Memory Leak,Application memory reclamation failure,Application cache not released,Cleared faulty cache behavior and updated application,Completed,Diagnosis confirmed through targeted checks. Cleared faulty cache behavior and updated application,Yes
REP-00691,DRDO-PC-0079,PC does not always wake or power on correctly during recent operation.,Intermittent power-state transition failure,Power Issue,Power-state delivery fault,Motherboard or PSU power-state fault,Diagnosed motherboard and PSU power-state path and replaced faulty component,Completed,Diagnosis confirmed through targeted checks. Diagnosed motherboard and PSU power-state path and replaced faulty component,Yes
REP-00461,DRDO-PC-0045,Maintenance note: RAM usage keeps increasing the longer the PC runs.,Monotonic RAM growth; no release after workload,Memory Leak,Probable software memory leak,Application fails to release allocated memory,"Identified leaking process, updated software, and verified stable RAM usage",Completed,"Diagnosis confirmed through targeted checks. Identified leaking process, updated software, and verified stable RAM usage",Yes
REP-00554,DRDO-PC-0003,Maintenance note: Memory pressure warning appears repeatedly and requests diagnosis.,Repeated low-memory warnings,Memory Leak,Sustained memory pressure condition,Software memory management defect,Investigated low-memory events and patched responsible software,Completed,Diagnosis confirmed through targeted checks. Investigated low-memory events and patched responsible software,Yes
REP-00889,DRDO-PC-0043,General system health assessment requested during recent operation.,No abnormal hardware behavior,No Problem,General diagnostics within expected range,No abnormal hardware condition,Completed health assessment and updated maintenance record,Completed,Diagnosis confirmed through targeted checks. Completed health assessment and updated maintenance record,Yes
REP-00207,DRDO-PC-0043,Applications hang during file save operations,Write latency spike; application hang,Disk Failure,Storage write-path degradation,Failing NAND cells or magnetic media,Replaced failing SSD or HDD and verified write stability,Completed,Diagnosis confirmed through targeted checks. Replaced failing SSD or HDD and verified write stability,Yes
REP-00393,DRDO-PC-0042,User reports: Some files have become corrupted without explanation,File corruption; storage errors,Disk Failure,Data integrity risk from degraded drive,Uncorrectable storage errors,Recovered valid data and replaced degraded drive,Completed,Diagnosis confirmed through targeted checks. Recovered valid data and replaced degraded drive,Yes
REP-00795,DRDO-PC-0069,User reports: Computer restarts after adding a high-load device,Restart after increased device load,Power Issue,Power capacity or connection issue,Marginal PSU capacity,Upgraded marginal PSU and verified device-load stability,Completed,Diagnosis confirmed through targeted checks. Upgraded marginal PSU and verified device-load stability,Yes
REP-00398,DRDO-PC-0015,User reports: Folders open slowly and explorer frequently stops responding,High directory-access latency; explorer hangs,Disk Failure,Excessive storage access latency,High retry rate from failing media,Replaced high-retry storage device and verified access latency,Completed,Diagnosis confirmed through targeted checks. Replaced high-retry storage device and verified access latency,Yes
REP-00767,DRDO-PC-0001,System loses power intermittently,Intermittent complete power loss,Power Issue,Intermittent PSU or connection fault,Loose connector or failing PSU,Reseated connectors and replaced intermittent PSU,Completed,Diagnosis confirmed through targeted checks. Reseated connectors and replaced intermittent PSU,Yes
REP-00849,DRDO-PC-0082,Observed issue: General system health assessment requested.,No abnormal hardware behavior,No Problem,General diagnostics within expected range,No abnormal hardware condition,Completed health assessment and updated maintenance record,Completed,Diagnosis confirmed through targeted checks. Completed health assessment and updated maintenance record,Yes
REP-00218,DRDO-PC-0056,Folders open slowly and explorer frequently stops responding,High directory-access latency; explorer hangs,Disk Failure,Excessive storage access latency,High retry rate from failing media,Replaced high-retry storage device and verified access latency,Completed,Diagnosis confirmed through targeted checks. Replaced high-retry storage device and verified access latency,Yes
REP-00005,DRDO-PC-0061,Machine gets unusually hot while running simulations,Persistent heat under load; performance degradation,Overheating,Cooling system unable to dissipate workload heat,Undersized or degraded cooling performance,Serviced cooling assembly and performed sustained-load test,Completed,Diagnosis confirmed through targeted checks. Serviced cooling assembly and performed sustained-load test,Yes
REP-00769,DRDO-PC-0002,Unexpected restart occurs despite normal temperature,Unexpected restart at normal temperature,Power Issue,Non-thermal restart caused by power instability,Transient voltage drop,"Verified temperatures normal, then replaced power-delivery fault source",Completed,"Diagnosis confirmed through targeted checks. Verified temperatures normal, then replaced power-delivery fault source",Yes
REP-00643,DRDO-PC-0025,Observed issue: Computer sometimes fails to start on the first attempt.,Intermittent startup failure,Power Issue,Intermittent startup power fault,Intermittent PSU startup behavior,Diagnosed startup rail behavior and replaced unstable power supply,Completed,Diagnosis confirmed through targeted checks. Diagnosed startup rail behavior and replaced unstable power supply,Yes
REP-00930,DRDO-PC-0104,Observed issue: No warning messages or unusual behavior observed and requests diagnosis.,No warnings; no instability,No Problem,No abnormal condition detected,Normal telemetry and event behavior,Reviewed logs and telemetry; no action required,Completed,Diagnosis confirmed through targeted checks. Reviewed logs and telemetry; no action required,Yes
REP-00613,DRDO-PC-0045,System becomes unstable when load changes rapidly,Instability during rapid load transition,Power Issue,Transient load power instability,Poor transient response from power supply,Replaced supply with poor transient response and stress-tested system,Completed,Diagnosis confirmed through targeted checks. Replaced supply with poor transient response and stress-tested system,Yes
REP-00739,DRDO-PC-0090,Observed issue: Machine is stable at idle but reboots under load and requests diagnosis.,Stable idle state; reboot under load,Power Issue,Load-dependent PSU instability,Voltage sag under load,Replaced PSU showing voltage sag under load,Completed,Diagnosis confirmed through targeted checks. Replaced PSU showing voltage sag under load,Yes
REP-00547,DRDO-PC-0036,Maintenance note: Restart temporarily fixes very high RAM usage and requests diagnosis.,High RAM relieved only by restart,Memory Leak,Persistent allocation leak,Persistent process allocation leak,Applied vendor patch and verified allocation stability,Completed,Diagnosis confirmed through targeted checks. Applied vendor patch and verified allocation stability,Yes
REP-00726,DRDO-PC-0038,Observed issue: PC shuts down when multiple peripherals are connected and requests diagnosis.,Shutdown with increased peripheral load,Power Issue,Insufficient power delivery under peripheral load,Peripheral load exceeds stable delivery capacity,Reduced unsupported load or upgraded PSU capacity,Completed,Diagnosis confirmed through targeted checks. Reduced unsupported load or upgraded PSU capacity,Yes
REP-00684,DRDO-PC-0043,Machine reboots when GPU or CPU load rises during recent operation.,Reboot under compute load,Power Issue,Load-dependent power failure,Insufficient or degraded PSU capacity,Installed correctly rated PSU and performed load test,Completed,Diagnosis confirmed through targeted checks. Installed correctly rated PSU and performed load test,Yes
REP-00099,DRDO-PC-0037,System is running much hotter than usual during recent operation.,Temperature above normal operating baseline,Overheating,System thermal baseline elevated,Ambient airflow restriction,Cleared environmental and chassis airflow restrictions,Completed,Diagnosis confirmed through targeted checks. Cleared environmental and chassis airflow restrictions,Yes
REP-00805,DRDO-PC-0067,System performance is normal but health verification is needed,Stable performance; no abnormal telemetry reported,No Problem,Healthy operating state,Components operating within expected condition,Recorded healthy status and retained monitoring schedule,Completed,Diagnosis confirmed through targeted checks. Recorded healthy status and retained monitoring schedule,Yes
REP-00728,DRDO-PC-0067,Observed issue: Computer cycles on and off during startup and requests diagnosis.,Power cycling during boot,Power Issue,Startup power sequencing instability,Power sequencing fault,Repaired or replaced component causing startup power cycling,Completed,Diagnosis confirmed through targeted checks. Repaired or replaced component causing startup power cycling,Yes
REP-00574,DRDO-PC-0090,Memory pressure warning appears repeatedly,Repeated low-memory warnings,Memory Leak,Sustained memory pressure condition,Software memory management defect,Investigated low-memory events and patched responsible software,Completed,Diagnosis confirmed through targeted checks. Investigated low-memory events and patched responsible software,Yes
REP-00407,DRDO-PC-0034,Restart temporarily fixes very high RAM usage,High RAM relieved only by restart,Memory Leak,Persistent allocation leak,Persistent process allocation leak,Applied vendor patch and verified allocation stability,Completed,Diagnosis confirmed through targeted checks. Applied vendor patch and verified allocation stability,Yes
REP-00503,DRDO-PC-0041,User reports: Memory usage remains high even after closing tasks during recent operation.,High committed memory after applications close,Memory Leak,Unreleased memory allocation,Defective memory management in software,Patched application and confirmed memory is released after workload,Completed,Diagnosis confirmed through targeted checks. Patched application and confirmed memory is released after workload,Yes
REP-00048,DRDO-PC-0066,Observed issue: Temperature rises rapidly during sustained CPU load.,Temperature spike; delayed cooling response,Overheating,Cooling response lag detected,Fan-control response delay,Corrected fan-control configuration and tested response,Completed,Diagnosis confirmed through targeted checks. Corrected fan-control configuration and tested response,Yes
REP-00033,DRDO-PC-0017,User reports: Machine overheats during rendering tasks,Extreme load temperature; throttling,Overheating,Cooling capacity insufficient for sustained load,Heatsink fin contamination,Deep-cleaned heatsink and fan assembly,Completed,Diagnosis confirmed through targeted checks. Deep-cleaned heatsink and fan assembly,Yes
REP-00780,DRDO-PC-0027,Power-on attempts sometimes produce no response,Intermittent no-power condition,Power Issue,Intermittent power-on path fault,Intermittent front-panel or PSU startup path,Repaired startup switch path or replaced intermittent PSU,Completed,Diagnosis confirmed through targeted checks. Repaired startup switch path or replaced intermittent PSU,Yes
REP-00840,DRDO-PC-0008,User reports: Standard periodic health audit requested,No active issue during periodic audit,No Problem,Periodic health audit passed,Routine periodic audit,Completed periodic audit and retained normal monitoring,Completed,Diagnosis confirmed through targeted checks. Completed periodic audit and retained normal monitoring,Yes
REP-00201,DRDO-PC-0091,Files take unusually long to open and disk errors appear,SMART warning; high read latency,Disk Failure,Storage device degradation confirmed,Aging storage media,"Backed up data, replaced drive, and verified SMART health",Completed,"Diagnosis confirmed through targeted checks. Backed up data, replaced drive, and verified SMART health",Yes
REP-00135,DRDO-PC-0077,Observed issue: Fans become loud but the PC still gets very hot and requests diagnosis.,High temperature despite high fan speed,Overheating,Cooling airflow ineffective despite fan demand,Fan spinning but airflow path obstructed,Cleared blocked airflow path and verified fan delivery,Completed,Diagnosis confirmed through targeted checks. Cleared blocked airflow path and verified fan delivery,Yes
REP-00028,DRDO-PC-0071,User reports: Temperature rises rapidly during sustained CPU load,Temperature spike; delayed cooling response,Overheating,Cooling response lag detected,Fan-control response delay,Corrected fan-control configuration and tested response,Completed,Diagnosis confirmed through targeted checks. Corrected fan-control configuration and tested response,Yes
REP-00881,DRDO-PC-0030,Routine health check requested with no reported issue during recent operation.,No abnormal symptoms reported,No Problem,No fault detected,No fault present,Completed diagnostics and recorded healthy baseline,Completed,Diagnosis confirmed through targeted checks. Completed diagnostics and recorded healthy baseline,Yes
REP-00231,DRDO-PC-0054,User reports: PC becomes unresponsive during disk-intensive tasks,High disk active time; poor throughput,Disk Failure,Severe storage latency condition,Excessive internal drive retries,Replaced high-latency failing drive,Completed,Diagnosis confirmed through targeted checks. Replaced high-latency failing drive,Yes
REP-00490,DRDO-PC-0028,RAM reaches near full capacity without additional workload during recent operation.,Near-capacity RAM without workload increase,Memory Leak,Abnormal RAM growth without workload growth,Runaway software allocation,Removed faulty software component causing runaway allocation,Completed,Diagnosis confirmed through targeted checks. Removed faulty software component causing runaway allocation,Yes
REP-00773,DRDO-PC-0001,System becomes unstable when load changes rapidly,Instability during rapid load transition,Power Issue,Transient load power instability,Poor transient response from power supply,Replaced supply with poor transient response and stress-tested system,Completed,Diagnosis confirmed through targeted checks. Replaced supply with poor transient response and stress-tested system,Yes
REP-00379,DRDO-PC-0015,Database operations fail with storage read write errors,Read write failure during database activity,Disk Failure,Storage read write reliability failure,Unreliable storage subsystem,Restored database from backup onto healthy storage,Completed,Diagnosis confirmed through targeted checks. Restored database from backup onto healthy storage,Yes
REP-00289,DRDO-PC-0039,Large file transfers fail before completion during recent operation.,Transfer failure; I O retry events,Disk Failure,Unreliable sustained storage transfer,Unstable drive under sustained transfer,Replaced unstable drive and validated sustained transfers,Completed,Diagnosis confirmed through targeted checks. Replaced unstable drive and validated sustained transfers,Yes
REP-00419,DRDO-PC-0088,Memory consumption rises after each repeated task,Per-operation memory accumulation,Memory Leak,Repeated-task allocation leak,Repeated operation leaves allocations behind,Corrected repeated-task cleanup and ran regression test,Completed,Diagnosis confirmed through targeted checks. Corrected repeated-task cleanup and ran regression test,Yes
REP-00675,DRDO-PC-0019,Maintenance note: Computer restarts after adding a high-load device.,Restart after increased device load,Power Issue,Power capacity or connection issue,Marginal PSU capacity,Upgraded marginal PSU and verified device-load stability,Completed,Diagnosis confirmed through targeted checks. Upgraded marginal PSU and verified device-load stability,Yes
REP-00392,DRDO-PC-0048,User reports: Storage device disconnects intermittently,Intermittent storage disconnect,Disk Failure,Intermittent storage availability,Intermittent connector or device fault,Checked connector and replaced intermittent storage device,Completed,Diagnosis confirmed through targeted checks. Checked connector and replaced intermittent storage device,Yes
REP-00593,DRDO-PC-0073,User reports: Long-running process causes gradual memory exhaustion,Long-running process retains memory,Memory Leak,Long-lived process allocation leak,Long-lived object retention,Updated long-running process and performed endurance test,Completed,Diagnosis confirmed through targeted checks. Updated long-running process and performed endurance test,Yes
REP-00499,DRDO-PC-0085,Memory consumption rises after each repeated task during recent operation.,Per-operation memory accumulation,Memory Leak,Repeated-task allocation leak,Repeated operation leaves allocations behind,Corrected repeated-task cleanup and ran regression test,Completed,Diagnosis confirmed through targeted checks. Corrected repeated-task cleanup and ran regression test,Yes
REP-00139,DRDO-PC-0009,Observed issue: System is running much hotter than usual and requests diagnosis.,Temperature above normal operating baseline,Overheating,System thermal baseline elevated,Ambient airflow restriction,Cleared environmental and chassis airflow restrictions,Completed,Diagnosis confirmed through targeted checks. Cleared environmental and chassis airflow restrictions,Yes
REP-00063,DRDO-PC-0026,Maintenance note: Computer shuts down after getting very hot.,Thermal shutdown; excessive heat,Overheating,Thermal protection event confirmed,Cooling fan degradation,Replaced degraded cooling fan and validated RPM response,Completed,Diagnosis confirmed through targeted checks. Replaced degraded cooling fan and validated RPM response,Yes
REP-00472,DRDO-PC-0045,Maintenance note: PC swaps heavily after several hours of use.,Heavy paging after prolonged uptime,Memory Leak,Paging caused by unreleased allocations,Excessive paging triggered by retained memory,Fixed retained-memory source and verified paging returned to normal,Completed,Diagnosis confirmed through targeted checks. Fixed retained-memory source and verified paging returned to normal,Yes
REP-00648,DRDO-PC-0061,Observed issue: Computer cycles on and off during startup.,Power cycling during boot,Power Issue,Startup power sequencing instability,Power sequencing fault,Repaired or replaced component causing startup power cycling,Completed,Diagnosis confirmed through targeted checks. Repaired or replaced component causing startup power cycling,Yes
REP-00129,DRDO-PC-0078,Observed issue: System becomes hot and starts throttling and requests diagnosis.,Thermal throttling; elevated fan activity,Overheating,Thermal throttling condition confirmed,Restricted airflow around CPU cooler,Removed airflow obstruction around processor cooler,Completed,Diagnosis confirmed through targeted checks. Removed airflow obstruction around processor cooler,Yes
REP-00977,DRDO-PC-0073,User requests confirmation that hardware is healthy,No hardware symptoms reported,No Problem,Hardware health check passed,No hardware defect detected,Verified hardware health and documented baseline,Completed,Diagnosis confirmed through targeted checks. Verified hardware health and documented baseline,Yes
REP-00521,DRDO-PC-0098,Observed issue: RAM usage keeps increasing the longer the PC runs and requests diagnosis.,Monotonic RAM growth; no release after workload,Memory Leak,Probable software memory leak,Application fails to release allocated memory,"Identified leaking process, updated software, and verified stable RAM usage",Completed,"Diagnosis confirmed through targeted checks. Identified leaking process, updated software, and verified stable RAM usage",Yes
REP-00839,DRDO-PC-0028,User reports: No performance degradation has been noticed,No observed performance degradation,No Problem,No degradation detected,No measurable degradation,Checked performance indicators; no degradation found,Completed,Diagnosis confirmed through targeted checks. Checked performance indicators; no degradation found,Yes
REP-00963,DRDO-PC-0075,Preventive inspection requested before deployment,No fault indicators during preventive check,No Problem,Preventive inspection passed,Preventive maintenance request,Performed preventive inspection and documented results,Completed,Diagnosis confirmed through targeted checks. Performed preventive inspection and documented results,Yes
REP-00065,DRDO-PC-0040,Maintenance note: Machine gets unusually hot while running simulations.,Persistent heat under load; performance degradation,Overheating,Cooling system unable to dissipate workload heat,Undersized or degraded cooling performance,Serviced cooling assembly and performed sustained-load test,Completed,Diagnosis confirmed through targeted checks. Serviced cooling assembly and performed sustained-load test,Yes
REP-00813,DRDO-PC-0009,System is responsive and no faults are reported,Normal responsiveness; no error events,No Problem,No fault condition reproduced,No reproducible issue,Ran diagnostics and confirmed no fault,Completed,Diagnosis confirmed through targeted checks. Ran diagnostics and confirmed no fault,Yes
REP-00015,DRDO-PC-0010,Fans become loud but the PC still gets very hot,High temperature despite high fan speed,Overheating,Cooling airflow ineffective despite fan demand,Fan spinning but airflow path obstructed,Cleared blocked airflow path and verified fan delivery,Completed,Diagnosis confirmed through targeted checks. Cleared blocked airflow path and verified fan delivery,Yes
REP-00157,DRDO-PC-0025,Maintenance note: Heat buildup occurs near the processor area and requests diagnosis.,Localized processor heat; elevated package temperature,Overheating,Processor heat-transfer path degraded,Uneven heatsink seating,Reseated CPU cooler with correct mounting pressure,Completed,Diagnosis confirmed through targeted checks. Reseated CPU cooler with correct mounting pressure,Yes
REP-00041,DRDO-PC-0013,Observed issue: PC becomes extremely hot during heavy workloads.,Sustained high CPU temperature; thermal throttling,Overheating,CPU cooling efficiency degraded,Dried thermal interface material,Replaced thermal paste and verified load temperatures,Completed,Diagnosis confirmed through targeted checks. Replaced thermal paste and verified load temperatures,Yes
REP-00493,DRDO-PC-0051,Long-running process causes gradual memory exhaustion during recent operation.,Long-running process retains memory,Memory Leak,Long-lived process allocation leak,Long-lived object retention,Updated long-running process and performed endurance test,Completed,Diagnosis confirmed through targeted checks. Updated long-running process and performed endurance test,Yes
REP-00380,DRDO-PC-0068,The machine shows recurring storage timeout messages,Storage command timeout; repeated retries,Disk Failure,Recurring storage timeout condition,Drive command processing instability,Replaced unstable drive and verified timeout events cleared,Completed,Diagnosis confirmed through targeted checks. Replaced unstable drive and verified timeout events cleared,Yes
REP-00188,DRDO-PC-0061,User reports: Temperature rises rapidly during sustained CPU load,Temperature spike; delayed cooling response,Overheating,Cooling response lag detected,Fan-control response delay,Corrected fan-control configuration and tested response,Completed,Diagnosis confirmed through targeted checks. Corrected fan-control configuration and tested response,Yes
REP-00764,DRDO-PC-0099,Machine reboots when GPU or CPU load rises,Reboot under compute load,Power Issue,Load-dependent power failure,Insufficient or degraded PSU capacity,Installed correctly rated PSU and performed load test,Completed,Diagnosis confirmed through targeted checks. Installed correctly rated PSU and performed load test,Yes
REP-00217,DRDO-PC-0017,Drive health warning appears after startup,Drive-health alert; degraded SMART status,Disk Failure,Drive health degradation,Wear-related storage degradation,Performed backup and replaced drive with degraded health indicators,Completed,Diagnosis confirmed through targeted checks. Performed backup and replaced drive with degraded health indicators,Yes
REP-00792,DRDO-PC-0030,User reports: Voltage warning appears in hardware monitoring,Out-of-range voltage alert,Power Issue,Voltage regulation abnormality,Out-of-tolerance power rail,Corrected out-of-range power rail with PSU replacement,Completed,Diagnosis confirmed through targeted checks. Corrected out-of-range power rail with PSU replacement,Yes
REP-00053,DRDO-PC-0078,Observed issue: Machine overheats during rendering tasks.,Extreme load temperature; throttling,Overheating,Cooling capacity insufficient for sustained load,Heatsink fin contamination,Deep-cleaned heatsink and fan assembly,Completed,Diagnosis confirmed through targeted checks. Deep-cleaned heatsink and fan assembly,Yes
REP-00879,DRDO-PC-0090,Maintenance note: No performance degradation has been noticed.,No observed performance degradation,No Problem,No degradation detected,No measurable degradation,Checked performance indicators; no degradation found,Completed,Diagnosis confirmed through targeted checks. Checked performance indicators; no degradation found,Yes
REP-00338,DRDO-PC-0015,Observed issue: Folders open slowly and explorer frequently stops responding and requests diagnosis.,High directory-access latency; explorer hangs,Disk Failure,Excessive storage access latency,High retry rate from failing media,Replaced high-retry storage device and verified access latency,Completed,Diagnosis confirmed through targeted checks. Replaced high-retry storage device and verified access latency,Yes
REP-00749,DRDO-PC-0101,Maintenance note: Unexpected restart occurs despite normal temperature and requests diagnosis.,Unexpected restart at normal temperature,Power Issue,Non-thermal restart caused by power instability,Transient voltage drop,"Verified temperatures normal, then replaced power-delivery fault source",Completed,"Diagnosis confirmed through targeted checks. Verified temperatures normal, then replaced power-delivery fault source",Yes
REP-00720,DRDO-PC-0011,User reports: Power-on attempts sometimes produce no response during recent operation.,Intermittent no-power condition,Power Issue,Intermittent power-on path fault,Intermittent front-panel or PSU startup path,Repaired startup switch path or replaced intermittent PSU,Completed,Diagnosis confirmed through targeted checks. Repaired startup switch path or replaced intermittent PSU,Yes
REP-00725,DRDO-PC-0081,Observed issue: Power becomes unstable during heavy processing and requests diagnosis.,Unstable voltage during heavy workload,Power Issue,Power rail instability,Unstable voltage regulation,Replaced unstable power supply and verified voltage regulation,Completed,Diagnosis confirmed through targeted checks. Replaced unstable power supply and verified voltage regulation,Yes
REP-00296,DRDO-PC-0007,Repeated I O errors appear in system logs during recent operation.,Repeated operating-system I O errors,Disk Failure,Persistent disk I O fault,Persistent hardware-level I O faults,Replaced storage device after repeated hardware I O errors,Completed,Diagnosis confirmed through targeted checks. Replaced storage device after repeated hardware I O errors,Yes
REP-00702,DRDO-PC-0068,User reports: System powers off without warning during recent operation.,Sudden power loss; no thermal precursor,Power Issue,Unexpected power interruption,Failing PSU or loose power connection,Reseated power connections and replaced faulty PSU where required,Completed,Diagnosis confirmed through targeted checks. Reseated power connections and replaced faulty PSU where required,Yes
REP-00252,DRDO-PC-0037,Observed issue: Storage device disconnects intermittently.,Intermittent storage disconnect,Disk Failure,Intermittent storage availability,Intermittent connector or device fault,Checked connector and replaced intermittent storage device,Completed,Diagnosis confirmed through targeted checks. Checked connector and replaced intermittent storage device,Yes
REP-00727,DRDO-PC-0097,Observed issue: System loses power intermittently and requests diagnosis.,Intermittent complete power loss,Power Issue,Intermittent PSU or connection fault,Loose connector or failing PSU,Reseated connectors and replaced intermittent PSU,Completed,Diagnosis confirmed through targeted checks. Reseated connectors and replaced intermittent PSU,Yes
REP-00462,DRDO-PC-0052,Maintenance note: System becomes slow after applications stay open for hours.,Progressive slowdown; rising memory usage,Memory Leak,Long-running application memory retention,Long-running process retains unused objects,"Restarted affected service, applied update, and monitored memory trend",Completed,"Diagnosis confirmed through targeted checks. Restarted affected service, applied update, and monitored memory trend",Yes
REP-00456,DRDO-PC-0072,Observed issue: Workstation slows down during long unattended runs.,Progressive memory pressure during unattended operation,Memory Leak,Unattended-run memory accumulation,Scheduled process accumulates memory,Patched scheduled process and monitored unattended operation,Completed,Diagnosis confirmed through targeted checks. Patched scheduled process and monitored unattended operation,Yes
REP-00997,DRDO-PC-0079,User reports: User requests confirmation that hardware is healthy,No hardware symptoms reported,No Problem,Hardware health check passed,No hardware defect detected,Verified hardware health and documented baseline,Completed,Diagnosis confirmed through targeted checks. Verified hardware health and documented baseline,Yes
REP-00816,DRDO-PC-0075,PC passes normal use but requires scheduled inspection,Normal use; preventive inspection due,No Problem,Preventive inspection normal,Scheduled preventive requirement,Completed scheduled inspection with no defect found,Completed,Diagnosis confirmed through targeted checks. Completed scheduled inspection with no defect found,Yes
REP-00863,DRDO-PC-0083,Maintenance note: Preventive inspection requested before deployment.,No fault indicators during preventive check,No Problem,Preventive inspection passed,Preventive maintenance request,Performed preventive inspection and documented results,Completed,Diagnosis confirmed through targeted checks. Performed preventive inspection and documented results,Yes
REP-00270,DRDO-PC-0016,Maintenance note: Operating system reports bad sectors.,Bad-sector reports; read instability,Disk Failure,Bad-sector growth confirmed,Progressive sector failure,Backed up data and replaced drive with growing bad sectors,Completed,Diagnosis confirmed through targeted checks. Backed up data and replaced drive with growing bad sectors,Yes
REP-00202,DRDO-PC-0050,PC freezes while copying large files,I O stall during file copy; system freeze,Disk Failure,Disk I O instability,Degraded drive electronics or media,Replaced degraded storage device and tested file transfers,Completed,Diagnosis confirmed through targeted checks. Replaced degraded storage device and tested file transfers,Yes
REP-00162,DRDO-PC-0102,System heats up quickly even with moderate usage,Rapid temperature rise; hot chassis,Overheating,Restricted chassis airflow,Dust-blocked intake and exhaust vents,"Cleaned intake vents, exhaust vents, and internal airflow path",Completed,"Diagnosis confirmed through targeted checks. Cleaned intake vents, exhaust vents, and internal airflow path",Yes
REP-00556,DRDO-PC-0026,Maintenance note: Workstation slows down during long unattended runs and requests diagnosis.,Progressive memory pressure during unattended operation,Memory Leak,Unattended-run memory accumulation,Scheduled process accumulates memory,Patched scheduled process and monitored unattended operation,Completed,Diagnosis confirmed through targeted checks. Patched scheduled process and monitored unattended operation,Yes
REP-00730,DRDO-PC-0103,Observed issue: Machine powers down during stress testing and requests diagnosis.,Shutdown during stress load,Power Issue,Power failure under sustained stress,PSU protection triggered under load,Replaced PSU triggering protection under stress,Completed,Diagnosis confirmed through targeted checks. Replaced PSU triggering protection under stress,Yes
REP-00402,DRDO-PC-0048,System becomes slow after applications stay open for hours,Progressive slowdown; rising memory usage,Memory Leak,Long-running application memory retention,Long-running process retains unused objects,"Restarted affected service, applied update, and monitored memory trend",Completed,"Diagnosis confirmed through targeted checks. Restarted affected service, applied update, and monitored memory trend",Yes
